Tamanho BubbleSort InsertionSort SelectionSort
100 13976 6627 5559
200 58450 29861 21214
300 131900 66007 46957
400 232740 113478 82852
500 374088 189464 128554
600 539148 276310 184420
700 728314 365229 250175
800 945980 464738 326334
900 1196990 584686 411923
1000 1497438 751050 508036
2000 6026746 3047315 2017436
3000 13542502 6829561 4527158
4000 24133384 12217749 8037405
5000 37485932 18748619 12549049
6000 53890232 26862781 18058753
7000 73554800 36866178 24567646
8000 95760166 48514367 32080749
9000 121589642 61164646 40590261
10000 150536970 74956944 50104154
20000 599638128 301491179 200218231
30000 1350119806 675612781 450343176
40000 2401235400 1197489012 800464068
50000 3756160248 1870342865 1250593382
60000 5401723128 2690093308 1800717730
70000 7362049670 3666875913 2450859862
80000 9604403750 4793915765 3200984972
90000 12143365108 6075436228 4051123736
100000 14999957696 7530996810 5001260448
