Tamanho BubbleSort InsertionSort SelectionSort
100 198 198 5049
200 398 398 20099
300 598 598 45149
400 798 798 80199
500 998 998 125249
600 1198 1198 180299
700 1398 1398 245349
800 1598 1598 320399
900 1798 1798 405449
1000 1998 1998 500499
2000 3998 3998 2000999
3000 5998 5998 4501499
4000 7998 7998 8001999
5000 9998 9998 12502499
6000 11998 11998 18002999
7000 13998 13998 24503499
8000 15998 15998 32003999
9000 17998 17998 40504499
10000 19998 19998 50004999
20000 39998 39998 200009999
30000 59998 59998 450014999
40000 79998 79998 800019999
50000 99998 99998 1250024999
60000 119998 119998 1800029999
70000 139998 139998 2450034999
80000 159998 159998 3200039999
90000 179998 179998 4050044999
100000 199998 199998 5000049999
