Tamanho BubbleSort InsertionSort SelectionSort
100 19800 15048 7649
200 79600 60098 30299
300 179400 135148 67949
400 319200 240198 120599
500 499000 375248 188249
600 718800 540298 270899
700 978600 735348 368549
800 1278400 960398 481199
900 1618200 1215448 608849
1000 1998000 1500498 751499
2000 7996000 6000998 3002999
3000 17994000 13501498 6754499
4000 31992000 24001998 12005999
5000 49990000 37502498 18757499
6000 71988000 54002998 27008999
7000 97986000 73503498 36760499
8000 127984000 96003998 48011999
9000 161982000 121504498 60763499
10000 199980000 150004998 75014999
20000 799960000 600009998 300029999
30000 1799940000 1350014998 675044999
40000 3199920000 2400019998 1200059999
50000 4999900000 3750024998 1875074999
60000 7199880000 5400029998 2700089999
70000 9799860000 7350034998 3675104999
80000 12799840000 9600039998 4800119999
90000 16199820000 12150044998 6075134999
100000 19999800000 15000049998 7500149999
