Tamanho	BubbleSort	InsertionSort	SelectionSort
100	35	72	84
200	45	28	67
300	89	54	19
400	72	10	56
500	15	99	38
600	63	76	21
700	27	46	91
800	81	33	42
900	59	18	74
1000	11	85	97
1100	92	30	66
1200	38	57	80
1300	74	26	13
1400	49	79	35
1500	20	62	51
1600	68	93	23
1700	55	17	88
1800	82	40	29
1900	36	69	45
2000	24	52	71
3000	58	14	96
4000	32	83	60
5000	78	41	87
6000	67	25	75
7000	16	94	48
8000	90	63	31
9000	70	12	65
10000	37	89	85
20000	44	22	57
30000	88	47	76
40000	53	81	19
50000	25	58	94
60000	76	35	68
70000	19	73	29
80000	61	9	52
90000	83	66	38
100000	10	77	43
